tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
1001,10,Phra Nakhon,พระนคร,13.7554,100.49837,5.2,13.73863,100.4883,13.77267,100.5094,12,1020,
1002,10,Dusit,ดุสิต,13.77966,100.51834,11.3,13.75273,100.49904,13.80036,100.53742,5,1030,
1003,10,Nong Chok,หนองจอก,13.8508,100.8615,263.2,13.73788,100.79259,13.94649,100.93085,8,1053,
1004,10,Bang Rak,บางรัก,13.7279,100.5236,3.7,13.71934,100.51203,13.73805,100.54475,5,1050,
1005,10,Bang Khen,บางเขน,13.86831,100.62923,44.6,13.84393,100.58655,13.89978,100.6845,2,1022,
1006,10,Bang Kapi,บางกะปิ,13.77137,100.63401,36.4,13.73839,100.60125,13.8174,100.66462,2,1024,
1007,10,Pathum Wan,ปทุมวัน,13.73997,100.53537,8.4,13.72277,100.51569,13.7531,100.55291,4,1033,
1008,10,Pom Prap Sattruphai,ป้อมปราบศัตรูพ่าย,13.75026,100.51127,2.3,13.73805,100.5039,13.76365,100.51737,5,1010,
1009,10,Phra Khanong,พระโขนง,13.69169,100.61288,13.4,13.67794,100.58392,13.70651,100.64024,2,1026,
1010,10,Min Buri,มีนบุรี,13.81072,100.75318,52.8,13.77811,100.69678,13.84929,100.799,2,1051,
1011,10,Lat Krabang,ลาดกระบัง,13.74397,100.79047,130.8,13.68956,100.70839,13.79397,100.87883,6,1052,
1012,10,Yannawa,ยานนาวา,13.69733,100.53647,6.4,13.67788,100.51698,13.71654,100.55487,2,1012,
1013,10,Samphanthawong,สัมพันธวงศ์,13.7382,100.5079,1.6,13.72939,100.49981,13.74685,100.51569,3,1010,
1014,10,Phaya Thai,พญาไท,13.78268,100.5434,7.8,13.76272,100.52789,13.79785,100.56163,2,1040,
1015,10,Thon Buri,ธนบุรี,13.7172,100.48651,11.0,13.69483,100.46923,13.74217,100.49864,7,1060,
1016,10,Bangkok Yai,บางกอกใหญ่,13.73818,100.4764,4.8,13.72244,100.46205,13.74821,100.49197,2,1060,
1017,10,Huai Khwang,ห้วยขวาง,13.76849,100.58353,19.3,13.74114,100.5633,13.80298,100.6041,3,1031,
1018,10,Khlong San,คลองสาน,13.72282,100.50399,4.0,13.70514,100.49765,13.73922,100.5123,4,1060,
1019,10,Taling Chan,ตลิ่งชัน,13.77093,100.43556,32.7,13.74442,100.40618,13.80135,100.46618,6,1017,
1020,10,Bangkok Noi,บางกอกน้อย,13.76151,100.47471,9.1,13.74442,100.46205,13.78716,100.49097,5,1070,
1021,10,Bang Khun Thian,บางขุนเทียน,13.58758,100.43099,150.4,13.49339,100.37648,13.68256,100.47693,2,1015,
1022,10,Phasi Charoen,ภาษีเจริญ,13.72316,100.44119,26.4,13.68761,100.41339,13.74793,100.47164,7,1016,
1023,10,Nong Khaem,หนองแขม,13.69736,100.35511,32.6,13.65534,100.33033,13.738,100.38484,2,1016,
1024,10,Rat Burana,ราษฎร์บูรณะ,13.6758,100.49794,14.0,13.6616,100.4758,13.69526,100.5234,2,1014,
1025,10,Bang Phlat,บางพลัด,13.78831,100.49328,14.3,13.76193,100.46594,13.81327,100.5165,4,1070,
1026,10,Din Daeng,ดินแดง,13.77601,100.56084,8.3,13.75513,100.54343,13.80107,100.5749,2,1040,
1027,10,Bung Kum,บึงกุ่ม,13.8116,100.64903,19.0,13.77537,100.62448,13.84737,100.67514,3,1024,
1028,10,Sathon,สาทร,13.71529,100.53182,7.6,13.70254,100.50817,13.72617,100.55375,3,1012,
1029,10,Bang Su,บางซื่อ,13.81909,100.52887,11.2,13.79785,100.5074,13.84963,100.54363,2,1080,
1030,10,Chatuchak,จตุจักร,13.82575,100.56485,32.3,13.79496,100.53742,13.85893,100.58987,5,1090,
1031,10,Bang Kho Laem,บางคอแหลม,13.69804,100.51072,7.7,13.68268,100.49,13.71246,100.52995,3,1012,
1032,10,Prawet,ประเวศ,13.70815,100.66899,36.9,13.66898,100.63411,13.73786,100.70999,3,1025,
1033,10,Khlong Toei,คลองเตย,13.71467,100.57121,12.9,13.6961,100.5507,13.74285,100.60166,3,1011,
1034,10,Suan Luang,สวนหลวง,13.72592,100.62478,22.4,13.70076,100.59815,13.74809,100.65909,3,1025,
1035,10,Chom Thong,จอมทอง,13.68844,100.46394,16.5,13.65904,100.43773,13.71596,100.48255,4,1015,
1036,10,Don Mueang,ดอนเมือง,13.92538,100.59123,35.4,13.88763,100.55889,13.95438,100.62255,3,1021,
