tis1099_subdistrict_code,parent_district_tis1099_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,postal_code
100101,1001,10,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,13.75147,100.49223,10200
100102,1001,10,Wang Burapha Phirom,วังบูรพาภิรมย์,13.74393,100.49868,10200
100103,1001,10,Wat Ratchabophit,วัดราชบพิธ,13.74992,100.49908,10200
100104,1001,10,Samran Rat,สำราญราษฎร์,13.7511,100.50333,10200
100105,1001,10,San Chaopho Suea,ศาลเจ้าพ่อเสือ,13.75396,100.49705,10200
100106,1001,10,Sao Chingcha,เสาชิงช้า,13.75338,100.5002,10200
100107,1001,10,Bowon Niwet,บวรนิเวศ,13.75737,100.50071,10200
100108,1001,10,Talat Yot,ตลาดยอด,13.7602,100.49746,10200
100109,1001,10,Chana Songkhram,ชนะสงคราม,13.76182,100.49474,10200
100110,1001,10,Ban Phan Thom,บ้านพานถม,13.76153,100.50326,10200
100111,1001,10,Bang Khun Phrom,บางขุนพรหม,13.76506,100.50546,10200
100112,1001,10,Wat Sam Phraya,วัดสามพระยา,13.76783,100.49907,10200
100201,1002,10,Dusit,ดุสิต,13.77288,100.5122,10300
100202,1002,10,Wachira Phayaban,วชิรพยาบาล,13.77819,100.50469,10300
100203,1002,10,Suan Chit Lada,สวนจิตรลดา,13.76716,100.52027,10300
100204,1002,10,Si Yaek Maha Nak,สี่แยกมหานาค,13.75634,100.5178,10300
100206,1002,10,Thanon Nakhon Chai Si,ถนนนครไชยศรี,13.78903,100.52243,10300
100301,1003,10,Krathum Rai,กระทุ่มราย,13.82453,100.88918,10530
100302,1003,10,Nong Chok,หนองจอก,13.8725,100.87182,10530
100303,1003,10,Khlong Sip,คลองสิบ,13.91254,100.82319,10530
100304,1003,10,Khlong Sip Song,คลองสิบสอง,13.91718,100.8805,10530
100305,1003,10,Khok Faet,โคกแฝด,13.83457,100.82726,10530
100306,1003,10,Khu Fang Nuea,คู้ฝั่งเหนือ,13.87255,100.81043,10530
100307,1003,10,Lam Phak Chi,ลำผักชี,13.79664,100.83045,10530
100308,1003,10,Lam Toiting,ลำต้อยติ่ง,13.78118,100.87428,10530
100401,1004,10,Maha Phruettharam,มหาพฤฒาราม,13.73362,100.52016,10500
100402,1004,10,Si Lom,สีลม,13.72423,100.52959,10500
100403,1004,10,Suriyawong,สุริยวงศ์,13.72673,100.52525,10500
100404,1004,10,Bang Rak,บางรัก,13.72477,100.51421,10500
